step,reward,coverage,remaining_dirt,collisions,total_distance,path_efficiency,performance_score,success
0,0.0004,0.0004,99,0,6.83,0.0585,0.023,0
1,0.0,0.0004,99,0,13.6,0.0294,0.006,0
2,0.0004,0.0008,98,0,20.24,0.0395,0.03,0
3,0.0,0.0008,98,0,20.24,0.0395,0.02,0
4,0.0,0.0008,98,0,22.23,0.036,0.008,0
5,0.0,0.0008,98,0,24.23,0.033,-0.004,0
6,0.0,0.0008,98,0,26.23,0.0305,-0.016,0
7,0.0,0.0008,98,0,30.96,0.0258,-0.031,0
8,0.00039999999999999986,0.0012,98,0,35.09,0.0342,-0.005,0
9,0.0,0.0012,98,0,38.56,0.0311,-0.019,0
10,0.0,0.0012,98,0,41.39,0.029,-0.031,0
11,0.0,0.0012,98,0,43.62,0.0275,-0.044,0
12,0.0,0.0012,98,0,45.62,0.0263,-0.056,0
13,0.0,0.0012,98,0,47.61,0.0252,-0.068,0
14,0.0,0.0012,98,0,49.61,0.0242,-0.08,0
15,0.0,0.0012,98,0,51.61,0.0233,-0.092,0
16,0.0,0.0012,98,0,53.6,0.0224,-0.104,0
17,0.0,0.0012,98,0,55.6,0.0216,-0.116,0
18,0.0,0.0012,98,0,57.59,0.0208,-0.128,0
19,0.0,0.0012,98,0,59.59,0.0201,-0.14,0
20,0.0,0.0012,98,0,61.58,0.0195,-0.152,0
21,0.0004000000000000002,0.0016,98,0,63.58,0.0252,-0.124,0
22,0.00039999999999999996,0.002,98,0,65.57,0.0305,-0.096,0
23,0.0,0.002,98,0,69.98,0.0286,-0.11,0
24,0.0,0.002,98,0,73.87,0.0271,-0.124,0
25,0.0,0.002,98,0,77.21,0.0259,-0.137,0
26,0.00039999999999999975,0.0024,98,0,80.01,0.03,-0.11,0
27,0.0,0.0024,98,0,82.29,0.0292,-0.122,0
28,0.0,0.0024,98,0,84.28,0.0285,-0.134,0
29,0.0,0.0024,98,0,86.28,0.0278,-0.146,0
30,0.0004000000000000002,0.0028,98,0,88.28,0.0317,-0.118,0
31,0.0,0.0028,98,0,94.18,0.0297,-0.134,0
32,0.0,0.0028,98,0,99.81,0.0281,-0.15,0
33,0.0004000000000000002,0.0032,98,0,105.06,0.0305,-0.125,0
34,0.0,0.0032,98,0,109.83,0.0291,-0.14,0
35,0.0,0.0032,98,0,114.01,0.0281,-0.154,0
36,0.0,0.0032,98,0,117.57,0.0272,-0.168,0
37,0.0,0.0032,98,0,120.5,0.0266,-0.181,0
38,0.0,0.0032,98,0,122.85,0.026,-0.193,0
39,0.00039999999999999975,0.0036,98,0,126.46,0.0285,-0.166,0
40,0.0,0.0036,98,0,129.48,0.0278,-0.179,0
41,0.0,0.0036,98,0,131.94,0.0273,-0.192,0
42,0.0,0.0036,98,0,133.94,0.0269,-0.204,0
43,0.0004000000000000002,0.004,98,0,135.94,0.0294,-0.176,0
44,0.0,0.004,98,0,137.93,0.029,-0.188,0
45,0.0,0.004,98,0,139.93,0.0286,-0.2,0
46,0.0,0.004,98,0,141.92,0.0282,-0.212,0
47,0.0,0.004,98,0,144.21,0.0277,-0.224,0
48,0.0,0.004,98,0,146.21,0.0274,-0.236,0
49,0.0,0.004,98,0,148.21,0.027,-0.248,0
50,0.0,0.004,98,0,150.2,0.0266,-0.26,0
51,0.0,0.004,98,0,152.2,0.0263,-0.272,0
52,0.0,0.004,98,0,154.19,0.0259,-0.284,0
53,0.0,0.004,98,0,156.19,0.0256,-0.296,0
54,0.0004000000000000002,0.0044,98,0,158.18,0.0278,-0.268,0
55,0.0,0.0044,98,0,160.18,0.0275,-0.28,0
56,0.0,0.0044,98,0,162.18,0.0271,-0.292,0
57,0.0,0.0044,98,0,164.17,0.0268,-0.304,0
58,0.0,0.0044,98,0,166.17,0.0265,-0.316,0
59,0.0,0.0044,98,0,168.16,0.0262,-0.328,0
60,0.0,0.0044,98,0,170.16,0.0259,-0.34,0
61,0.0,0.0044,98,0,172.15,0.0256,-0.352,0
62,0.0,0.0044,98,0,174.15,0.0253,-0.364,0
63,0.0,0.0044,98,0,178.67,0.0246,-0.379,0
64,0.0,0.0044,98,0,182.55,0.0241,-0.393,0
65,0.0,0.0044,98,0,185.74,0.0237,-0.406,0
66,0.0,0.0044,98,0,188.29,0.0234,-0.418,0
67,0.0,0.0044,98,0,190.29,0.0231,-0.43,0
68,0.0,0.0044,98,0,192.29,0.0229,-0.442,0
69,0.0,0.0044,98,0,194.28,0.0226,-0.454,0
70,0.0,0.0044,98,0,196.28,0.0224,-0.466,0
71,0.0,0.0044,98,0,198.27,0.0222,-0.478,0
72,0.0,0.0044,98,0,200.27,0.022,-0.49,0
73,0.0,0.0044,98,0,202.27,0.0218,-0.502,0
74,0.0,0.0044,98,0,204.26,0.0215,-0.514,0
75,0.0,0.0044,98,0,206.26,0.0213,-0.526,0
76,0.0,0.0044,98,0,208.25,0.0211,-0.538,0
77,0.0,0.0044,98,0,210.25,0.0209,-0.55,0
78,0.0,0.0044,98,0,212.24,0.0207,-0.562,0
79,0.0,0.0044,98,0,217.19,0.0203,-0.577,0
80,0.0,0.0044,98,0,221.26,0.0199,-0.591,0
81,0.0,0.0044,98,0,224.37,0.0196,-0.604,0
82,0.0,0.0044,98,0,226.67,0.0194,-0.617,0
83,0.0,0.0044,98,0,228.67,0.0192,-0.629,0
84,0.0,0.0044,98,0,230.67,0.0191,-0.641,0
85,0.0,0.0044,98,0,232.66,0.0189,-0.653,0
86,0.0,0.0044,98,0,234.66,0.0188,-0.665,0
87,0.0,0.0044,98,0,241.03,0.0183,-0.681,0
88,0.0,0.0044,98,0,247.21,0.0178,-0.697,0
89,0.0003999999999999993,0.0048,98,0,253.1,0.019,-0.673,0
90,0.0,0.0048,98,0,258.52,0.0186,-0.689,0
91,0.0,0.0048,98,0,263.22,0.0182,-0.703,0
92,0.0,0.0048,98,0,266.98,0.018,-0.717,0
93,0.0,0.0048,98,0,269.82,0.0178,-0.73,0
94,0.0004000000000000002,0.0052,98,0,271.91,0.0191,-0.702,0
95,0.0,0.0052,98,0,278.57,0.0187,-0.719,0
96,0.0,0.0052,98,0,285.12,0.0182,-0.735,0
97,0.0004000000000000002,0.0056,98,0,291.45,0.0192,-0.711,0
98,0.0,0.0056,98,0,297.36,0.0188,-0.727,0
99,0.0,0.0056,98,0,303.93,0.0184,-0.744,0
100,0.0,0.0056,98,0,310.31,0.018,-0.76,0
101,0.0004000000000000002,0.006,98,0,316.3,0.019,-0.736,0
102,0.0,0.006,98,0,322.77,0.0186,-0.753,0
103,0.0,0.006,98,0,329.01,0.0182,-0.769,0
104,0.0004000000000000002,0.0064,98,0,334.83,0.0191,-0.745,0
105,0.0,0.0064,97,0,341.03,0.0188,-0.761,0
106,0.0,0.0064,97,0,346.96,0.0184,-0.777,0
107,0.0003999999999999993,0.0068,97,0,352.47,0.0193,-0.752,0
108,0.0,0.0068,97,0,357.34,0.019,-0.767,0
109,0.0,0.0068,97,0,361.34,0.0188,-0.781,0
110,0.0,0.0068,97,0,364.42,0.0187,-0.794,0
111,0.0,0.0068,97,0,369.96,0.0184,-0.81,0
112,0.0004000000000000002,0.0072,97,0,375.11,0.0192,-0.785,0
113,0.0,0.0072,97,0,379.73,0.019,-0.8,0
114,0.0,0.0072,97,0,383.76,0.0188,-0.814,0
115,0.0,0.0072,97,0,387.14,0.0186,-0.827,0
116,0.0,0.0072,97,0,389.9,0.0185,-0.84,0
117,0.0,0.0072,97,0,392.09,0.0184,-0.852,0
118,0.0004000000000000002,0.0076,97,0,394.09,0.0193,-0.824,0
119,0.0,0.0076,97,0,398.12,0.0191,-0.838,0
120,0.0,0.0076,97,0,401.69,0.0189,-0.852,0
121,0.0004000000000000002,0.008,97,0,404.76,0.0198,-0.825,0
122,0.0,0.008,97,0,407.34,0.0196,-0.837,0
123,0.0,0.008,97,0,409.44,0.0195,-0.849,0
124,0.0,0.008,97,0,411.44,0.0194,-0.861,0
125,0.0,0.008,97,0,413.43,0.0194,-0.873,0
126,0.0,0.008,97,0,415.43,0.0193,-0.885,0
127,0.0,0.008,97,0,417.43,0.0192,-0.897,0
128,0.0,0.008,97,0,419.42,0.0191,-0.909,0
129,0.0,0.008,97,0,421.42,0.019,-0.921,0
130,0.0,0.008,97,0,423.41,0.0189,-0.933,0
131,0.0,0.008,97,0,425.41,0.0188,-0.945,0
132,0.0003999999999999993,0.0084,97,0,427.4,0.0197,-0.917,0
133,0.0,0.0084,97,0,429.4,0.0196,-0.929,0
134,0.0,0.0084,97,0,431.39,0.0195,-0.941,0
135,0.00040000000000000105,0.0088,97,0,433.39,0.0203,-0.913,0
136,0.0,0.0088,97,0,435.38,0.0202,-0.925,0
137,0.0,0.0088,97,0,437.38,0.0201,-0.937,0
138,0.0,0.0088,97,0,439.37,0.02,-0.949,0
139,0.0,0.0088,97,0,441.37,0.0199,-0.961,0
140,0.0,0.0088,97,0,443.36,0.0198,-0.973,0
141,0.0,0.0088,97,0,445.36,0.0198,-0.985,0
142,0.0,0.0088,97,0,447.35,0.0197,-0.997,0
143,0.0003999999999999993,0.0092,97,0,452.72,0.0203,-0.973,0
144,0.0,0.0092,97,0,457.58,0.0201,-0.988,0
145,0.0,0.0092,97,0,461.81,0.0199,-1.002,0
146,0.0,0.0092,97,0,465.33,0.0198,-1.015,0
147,0.0,0.0092,97,0,468.17,0.0197,-1.028,0
148,0.0003999999999999993,0.0096,97,0,470.39,0.0204,-1.0,0
149,0.0,0.0096,97,0,472.39,0.0203,-1.012,0
150,0.0,0.0096,97,0,474.38,0.0202,-1.024,0
151,0.0,0.0096,97,0,476.86,0.0201,-1.037,0
152,0.0,0.0096,97,0,478.85,0.02,-1.049,0
153,0.0,0.0096,97,0,480.85,0.02,-1.061,0
154,0.0,0.0096,97,0,482.85,0.0199,-1.073,0
155,0.00040000000000000105,0.01,97,0,484.84,0.0206,-1.045,0
156,0.0,0.01,97,0,486.84,0.0205,-1.057,0
157,0.0,0.01,97,0,488.83,0.0205,-1.069,0
158,0.0,0.01,97,0,490.83,0.0204,-1.081,0
159,0.0,0.01,97,0,492.82,0.0203,-1.093,0
160,0.0,0.01,97,0,494.82,0.0202,-1.105,0
161,0.0,0.01,97,0,496.81,0.0201,-1.117,0
162,0.0,0.01,97,0,498.81,0.02,-1.129,0
163,0.0,0.01,97,0,500.8,0.02,-1.141,0
164,0.0,0.01,97,0,502.8,0.0199,-1.153,0
165,0.0003999999999999993,0.0104,97,0,504.79,0.0206,-1.125,0
166,0.0,0.0104,97,0,506.79,0.0205,-1.137,0
167,0.0,0.0104,97,0,508.78,0.0204,-1.149,0
168,0.0,0.0104,97,0,510.78,0.0204,-1.161,0
169,0.0,0.0104,97,0,512.78,0.0203,-1.173,0
170,0.0,0.0104,97,0,514.77,0.0202,-1.185,0
171,0.0,0.0104,97,0,516.77,0.0201,-1.197,0
172,0.0,0.0104,97,0,518.76,0.02,-1.209,0
173,0.0,0.0104,97,0,520.76,0.02,-1.221,0
174,0.0,0.0104,97,0,522.75,0.0199,-1.233,0
175,0.00040000000000000105,0.0108,96,0,528.48,0.0204,-1.208,0
176,0.0,0.0108,96,0,533.58,0.0202,-1.224,0
177,0.0,0.0108,96,0,537.74,0.0201,-1.238,0
178,0.0,0.0108,96,0,540.83,0.02,-1.251,0
179,0.0,0.0108,96,0,543.07,0.0199,-1.263,0
180,0.0003999999999999993,0.0112,96,0,545.06,0.0205,-1.235,0
181,0.0,0.0112,96,0,547.06,0.0205,-1.247,0
182,0.0,0.0112,96,0,549.05,0.0204,-1.259,0
183,0.0,0.0112,96,0,551.63,0.0203,-1.272,0
184,0.0,0.0112,96,0,553.62,0.0202,-1.284,0
185,0.0,0.0112,96,0,555.62,0.0202,-1.296,0
186,0.0,0.0112,96,0,557.62,0.0201,-1.308,0
187,0.0,0.0112,96,0,559.61,0.02,-1.32,0
188,0.0,0.0112,96,0,561.61,0.0199,-1.332,0
189,0.0,0.0112,96,0,563.6,0.0199,-1.344,0
190,0.0,0.0112,96,0,565.6,0.0198,-1.356,0
191,0.0003999999999999993,0.0116,96,0,567.59,0.0204,-1.328,0
192,0.0,0.0116,96,0,569.59,0.0204,-1.34,0
193,0.0,0.0116,96,0,571.58,0.0203,-1.352,0
194,0.0,0.0116,96,0,573.58,0.0202,-1.364,0
195,0.0,0.0116,96,0,575.57,0.0202,-1.376,0
196,0.0,0.0116,96,0,577.57,0.0201,-1.388,0
197,0.0,0.0116,96,0,579.56,0.02,-1.4,0
198,0.0,0.0116,96,0,581.56,0.0199,-1.412,0
199,0.0,0.0116,96,0,583.55,0.0199,-1.424,0
200,0.0,0.0116,96,0,585.55,0.0198,-1.436,0
201,0.00040000000000000105,0.012,96,0,587.54,0.0204,-1.408,0
202,0.0,0.012,96,0,589.54,0.0204,-1.42,0
203,0.0,0.012,96,0,591.53,0.0203,-1.432,0
204,0.0,0.012,96,0,593.53,0.0202,-1.444,0
205,0.0003999999999999993,0.0124,96,0,595.52,0.0208,-1.416,0
206,0.0,0.0124,96,0,597.52,0.0208,-1.428,0
207,0.0,0.0124,96,0,603.44,0.0205,-1.443,0
208,0.00040000000000000105,0.0128,96,0,609.06,0.021,-1.419,0
209,0.0,0.0128,96,0,614.28,0.0208,-1.434,0
210,0.0,0.0128,96,0,618.97,0.0207,-1.449,0
211,0.0,0.0128,96,0,623.03,0.0205,-1.463,0
212,0.0,0.0128,96,0,626.41,0.0204,-1.476,0
213,0.0003999999999999993,0.0132,96,0,629.15,0.021,-1.449,0
214,0.0,0.0132,96,0,631.29,0.0209,-1.461,0
215,0.0,0.0132,96,0,634.93,0.0208,-1.475,0
216,0.0,0.0132,96,0,637.92,0.0207,-1.488,0
217,0.0,0.0132,96,0,640.31,0.0206,-1.5,0
218,0.0,0.0132,96,0,642.31,0.0206,-1.512,0
219,0.0,0.0132,96,0,644.31,0.0205,-1.524,0
220,0.0,0.0132,96,0,646.3,0.0204,-1.536,0
221,0.0003999999999999993,0.0136,96,0,648.3,0.021,-1.508,0
222,0.0,0.0136,96,0,650.29,0.0209,-1.52,0
223,0.0,0.0136,95,0,652.29,0.0208,-1.532,0
224,0.0,0.0136,95,0,654.28,0.0208,-1.544,0
225,0.0,0.0136,95,0,656.28,0.0207,-1.556,0
226,0.0,0.0136,95,0,658.27,0.0207,-1.568,0
227,0.0,0.0136,95,0,660.27,0.0206,-1.58,0
228,0.0,0.0136,95,0,662.26,0.0205,-1.592,0
229,0.0,0.0136,95,0,664.26,0.0205,-1.604,0
230,0.0,0.0136,95,0,666.25,0.0204,-1.616,0
231,0.00040000000000000105,0.014,95,0,668.25,0.021,-1.588,0
232,0.0003999999999999993,0.0144,95,0,670.25,0.0215,-1.56,0
233,0.0,0.0144,95,0,672.24,0.0214,-1.572,0
234,0.0,0.0144,95,0,674.24,0.0214,-1.584,0
235,0.0,0.0144,95,0,676.23,0.0213,-1.596,0
236,0.0,0.0144,95,0,678.23,0.0212,-1.608,0
237,0.0,0.0144,95,0,680.22,0.0212,-1.62,0
238,0.0,0.0144,95,0,682.22,0.0211,-1.632,0
239,0.0,0.0144,95,0,687.35,0.021,-1.647,0
240,0.0,0.0144,95,0,691.8,0.0208,-1.662,0
241,0.00040000000000000105,0.0148,95,0,695.45,0.0213,-1.635,0
242,0.0,0.0148,95,0,698.33,0.0212,-1.648,0
243,0.0,0.0148,95,0,700.52,0.0211,-1.661,0
244,0.0,0.0148,95,0,702.52,0.0211,-1.673,0
245,0.0,0.0148,95,0,704.52,0.021,-1.685,0
246,0.0,0.0148,95,0,706.51,0.0209,-1.697,0
247,0.0,0.0148,95,0,708.62,0.0209,-1.709,0
248,0.0,0.0148,95,0,710.62,0.0208,-1.721,0
249,0.0,0.0148,95,0,712.61,0.0208,-1.733,0
250,0.0,0.0148,95,0,714.61,0.0207,-1.745,0
251,0.0,0.0148,95,0,716.6,0.0207,-1.757,0
252,0.0,0.0148,95,0,718.6,0.0206,-1.769,0
253,0.0,0.0148,95,0,720.59,0.0205,-1.781,0
254,0.0,0.0148,95,0,722.59,0.0205,-1.793,0
255,0.0,0.0148,95,0,725.56,0.0204,-1.806,0
256,0.0003999999999999993,0.0152,95,0,727.75,0.0209,-1.778,0
257,0.0,0.0152,95,0,729.74,0.0208,-1.79,0
258,0.0,0.0152,95,0,731.74,0.0208,-1.802,0
259,0.0,0.0152,95,0,733.73,0.0207,-1.814,0
260,0.0,0.0152,95,0,735.73,0.0207,-1.826,0
261,0.0,0.0152,95,0,737.73,0.0206,-1.838,0
262,0.0,0.0152,95,0,739.72,0.0205,-1.85,0
263,0.0,0.0152,95,0,742.0,0.0205,-1.862,0
264,0.0,0.0152,95,0,743.99,0.0204,-1.874,0
265,0.0,0.0152,95,0,745.99,0.0204,-1.886,0
266,0.0,0.0152,95,0,747.99,0.0203,-1.898,0
267,0.0,0.0152,95,0,749.98,0.0203,-1.91,0
268,0.0,0.0152,95,0,751.98,0.0202,-1.922,0
269,0.0,0.0152,95,0,753.97,0.0202,-1.934,0
270,0.0003999999999999993,0.0156,95,0,755.97,0.0206,-1.906,0
271,0.0,0.0156,95,0,757.96,0.0206,-1.918,0
272,0.0,0.0156,95,0,759.96,0.0205,-1.93,0
273,0.00040000000000000105,0.016,95,0,761.95,0.021,-1.902,0
