exp_id,algorithm,num_bots,num_dirt,seed,max_steps,num_dynamic_obstacles,sensor_noise,execution_noise,total_steps,completed,runtime_seconds,timestamp,coverage,remaining_dirt,collisions,dynamic_collisions,robot_collisions,total_distance,path_efficiency,performance_score,success
random_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed0,random,2,50,0,1200,2,0.0,0.0,1200,True,1.0667,2026-04-14 11:42:20,0.12,44,24,5,0,6904.68,0.0174,-54.905,0
random_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed1,random,2,50,1,1200,2,0.0,0.0,1200,True,1.1273,2026-04-14 11:42:21,0.12,44,1,0,1,7406.68,0.0162,-9.407,0
astar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed0,astar,2,50,0,1200,2,0.0,0.0,1200,True,3.6213,2026-04-14 11:42:25,0.06,47,0,0,0,9539.05,0.0063,-15.539,0
astar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed1,astar,2,50,1,1200,2,0.0,0.0,1200,True,5.8087,2026-04-14 11:42:30,0.04,48,28,6,0,9161.37,0.0044,-73.161,0
dstar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed0,dstar,2,50,0,1200,2,0.0,0.0,1200,True,7.9178,2026-04-14 11:42:38,0.14,43,81,17,0,8821.22,0.0159,-168.821,0
dstar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed1,dstar,2,50,1,1200,2,0.0,0.0,1200,True,28.2424,2026-04-14 11:43:07,0.06,47,49,11,0,9086.28,0.0066,-113.086,0
