step,reward,coverage,remaining_dirt,collisions,total_distance,path_efficiency,performance_score,success
0,0.0004,0.0004,50,0,6.97,0.0574,0.023,0
1,0.0,0.0004,50,0,13.82,0.0289,0.006,0
2,0.0,0.0004,49,0,20.6,0.0194,-0.011,0
3,0.0004,0.0008,49,0,27.27,0.0293,0.013,0
4,0.0,0.0008,49,0,33.87,0.0236,-0.004,0
5,0.0,0.0008,48,0,40.31,0.0198,-0.02,0
6,0.00039999999999999986,0.0012,48,0,46.48,0.0258,0.004,0
7,0.0,0.0012,48,0,51.7,0.0232,-0.012,0
8,0.0,0.0012,48,0,56.21,0.0213,-0.026,0
9,0.0,0.0012,48,0,59.86,0.02,-0.04,0
10,0.0,0.0012,48,0,62.69,0.0191,-0.053,0
11,0.0,0.0012,48,0,64.82,0.0185,-0.065,0
12,0.0,0.0012,48,0,66.82,0.018,-0.077,0
13,0.0004000000000000002,0.0016,48,0,68.82,0.0233,-0.049,0
14,0.0,0.0016,48,0,70.81,0.0226,-0.061,0
15,0.0,0.0016,48,0,72.81,0.022,-0.073,0
16,0.0,0.0016,48,0,74.81,0.0214,-0.085,0
17,0.0,0.0016,48,0,76.8,0.0208,-0.097,0
18,0.0,0.0016,48,0,78.8,0.0203,-0.109,0
19,0.0,0.0016,48,0,80.79,0.0198,-0.121,0
20,0.00039999999999999996,0.002,48,0,82.79,0.0242,-0.093,0
21,0.0,0.002,48,0,84.78,0.0236,-0.105,0
22,0.0,0.002,48,0,86.78,0.023,-0.117,0
23,0.0,0.002,48,0,88.77,0.0225,-0.129,0
24,0.0,0.002,48,0,90.77,0.022,-0.141,0
25,0.00039999999999999975,0.0024,48,0,92.76,0.0259,-0.113,0
26,0.0,0.0024,48,0,94.76,0.0253,-0.125,0
27,0.0,0.0024,48,0,96.75,0.0248,-0.137,0
28,0.0,0.0024,48,0,98.75,0.0243,-0.149,0
29,0.0,0.0024,48,0,100.74,0.0238,-0.161,0
30,0.0,0.0024,48,0,102.74,0.0234,-0.173,0
31,0.0004000000000000002,0.0028,48,0,104.73,0.0267,-0.145,0
32,0.0,0.0028,48,0,106.73,0.0262,-0.157,0
33,0.0,0.0028,48,0,108.72,0.0258,-0.169,0
34,0.0,0.0028,48,0,110.72,0.0253,-0.181,0
35,0.0,0.0028,48,0,112.71,0.0248,-0.193,0
36,0.0,0.0028,48,0,114.71,0.0244,-0.205,0
37,0.0,0.0028,48,0,116.71,0.024,-0.217,0
38,0.0,0.0028,48,0,118.7,0.0236,-0.229,0
39,0.0,0.0028,48,0,120.7,0.0232,-0.241,0
40,0.0,0.0028,48,0,122.69,0.0228,-0.253,0
41,0.0004000000000000002,0.0032,48,0,124.69,0.0257,-0.225,0
42,0.0,0.0032,48,0,126.68,0.0253,-0.237,0
43,0.0,0.0032,48,0,128.68,0.0249,-0.249,0
44,0.0,0.0032,48,0,130.67,0.0245,-0.261,0
45,0.0,0.0032,48,0,132.67,0.0241,-0.273,0
46,0.00039999999999999975,0.0036,48,0,134.66,0.0267,-0.245,0
47,0.0,0.0036,48,0,136.66,0.0263,-0.257,0
48,0.0,0.0036,48,0,138.65,0.026,-0.269,0
49,0.0,0.0036,48,0,140.65,0.0256,-0.281,0
50,0.0,0.0036,48,0,142.64,0.0252,-0.293,0
51,0.0004000000000000002,0.004,48,0,144.64,0.0277,-0.265,0
52,0.0,0.004,48,0,146.63,0.0273,-0.277,0
53,0.0,0.004,48,0,148.63,0.0269,-0.289,0
54,0.0,0.004,48,0,150.62,0.0266,-0.301,0
55,0.0,0.004,48,0,152.62,0.0262,-0.313,0
56,0.0,0.004,48,0,154.62,0.0259,-0.325,0
57,0.0,0.004,48,0,156.61,0.0255,-0.337,0
58,0.0,0.004,48,0,158.61,0.0252,-0.349,0
59,0.0,0.004,48,0,160.6,0.0249,-0.361,0
60,0.0,0.004,48,0,162.6,0.0246,-0.373,0
61,0.0,0.004,48,0,164.59,0.0243,-0.385,0
62,0.0004000000000000002,0.0044,48,0,166.59,0.0264,-0.357,0
63,0.0,0.0044,48,0,168.58,0.0261,-0.369,0
64,0.0,0.0044,48,0,170.58,0.0258,-0.381,0
65,0.0003999999999999993,0.0048,48,0,172.57,0.0278,-0.353,0
66,0.0,0.0048,48,0,174.57,0.0275,-0.365,0
67,0.0,0.0048,48,0,176.56,0.0272,-0.377,0
68,0.0,0.0048,48,0,178.56,0.0269,-0.389,0
69,0.0,0.0048,48,0,180.56,0.0266,-0.401,0
70,0.0,0.0048,48,0,182.55,0.0263,-0.413,0
71,0.0,0.0048,48,0,186.62,0.0257,-0.427,0
72,0.0004000000000000002,0.0052,48,0,190.0,0.0274,-0.4,0
73,0.0,0.0052,48,0,192.72,0.027,-0.413,0
74,0.0,0.0052,48,0,194.84,0.0267,-0.425,0
75,0.0,0.0052,48,0,196.83,0.0264,-0.437,0
76,0.0,0.0052,48,0,198.83,0.0262,-0.449,0
77,0.0,0.0052,48,0,200.82,0.0259,-0.461,0
78,0.0004000000000000002,0.0056,48,0,202.82,0.0276,-0.433,0
79,0.0,0.0056,48,0,205.63,0.0272,-0.446,0
80,0.0,0.0056,48,0,207.9,0.0269,-0.458,0
81,0.0,0.0056,48,0,209.9,0.0267,-0.47,0
82,0.0,0.0056,48,0,211.89,0.0264,-0.482,0
83,0.0,0.0056,48,0,213.89,0.0262,-0.494,0
84,0.0,0.0056,48,0,215.88,0.0259,-0.506,0
85,0.0004000000000000002,0.006,48,0,217.88,0.0275,-0.478,0
86,0.0,0.006,48,0,219.87,0.0273,-0.49,0
87,0.0,0.006,48,0,221.87,0.027,-0.502,0
88,0.0,0.006,48,0,223.87,0.0268,-0.514,0
89,0.0,0.006,48,0,225.86,0.0266,-0.526,0
90,0.0,0.006,48,0,227.86,0.0263,-0.538,0
91,0.0004000000000000002,0.0064,48,0,229.85,0.0278,-0.51,0
92,0.0,0.0064,48,0,231.85,0.0276,-0.522,0
93,0.0,0.0064,48,0,233.84,0.0274,-0.534,0
94,0.0,0.0064,48,0,235.84,0.0271,-0.546,0
95,0.0,0.0064,48,0,241.32,0.0265,-0.561,0
96,0.0,0.0064,48,0,246.15,0.026,-0.576,0
97,0.0,0.0064,48,0,250.09,0.0256,-0.59,0
98,0.0003999999999999993,0.0068,48,0,253.11,0.0269,-0.563,0
99,0.0,0.0068,48,0,255.36,0.0266,-0.575,0
100,0.0,0.0068,48,0,257.36,0.0264,-0.587,0
101,0.0,0.0068,48,0,259.35,0.0262,-0.599,0
102,0.0,0.0068,48,0,261.35,0.026,-0.611,0
103,0.0004000000000000002,0.0072,48,0,263.35,0.0273,-0.583,0
104,0.0,0.0072,48,0,265.34,0.0271,-0.595,0
105,0.0,0.0072,48,0,267.34,0.0269,-0.607,0
106,0.0,0.0072,48,0,269.33,0.0267,-0.619,0
107,0.0,0.0072,48,0,271.33,0.0265,-0.631,0
108,0.0,0.0072,48,0,273.32,0.0263,-0.643,0
109,0.0,0.0072,48,0,275.32,0.0262,-0.655,0
110,0.0,0.0072,48,0,277.31,0.026,-0.667,0
111,0.0,0.0072,48,0,279.31,0.0258,-0.679,0
112,0.0,0.0072,48,0,281.3,0.0256,-0.691,0
113,0.0,0.0072,48,0,283.3,0.0254,-0.703,0
114,0.0004000000000000002,0.0076,48,0,285.29,0.0266,-0.675,0
115,0.0,0.0076,48,0,287.29,0.0265,-0.687,0
116,0.0004000000000000002,0.008,48,0,289.28,0.0277,-0.659,0
117,0.0,0.008,48,0,291.28,0.0275,-0.671,0
118,0.0,0.008,48,0,293.27,0.0273,-0.683,0
119,0.0,0.008,48,0,295.27,0.0271,-0.695,0
120,0.0,0.008,48,0,297.27,0.0269,-0.707,0
121,0.0,0.008,48,0,299.26,0.0267,-0.719,0
122,0.0,0.008,48,0,301.26,0.0266,-0.731,0
123,0.0,0.008,48,0,303.25,0.0264,-0.743,0
124,0.0,0.008,48,0,305.25,0.0262,-0.755,0
125,0.0003999999999999993,0.0084,48,0,307.24,0.0273,-0.727,0
126,0.0,0.0084,48,0,309.24,0.0272,-0.739,0
127,0.0,0.0084,48,0,311.23,0.027,-0.751,0
128,0.0,0.0084,48,0,313.23,0.0268,-0.763,0
129,0.0,0.0084,48,0,315.22,0.0266,-0.775,0
130,0.0,0.0084,48,0,317.22,0.0265,-0.787,0
131,0.0,0.0084,48,0,319.21,0.0263,-0.799,0
132,0.0,0.0084,48,0,321.21,0.0262,-0.811,0
133,0.0,0.0084,48,0,323.2,0.026,-0.823,0
134,0.0,0.0084,48,0,325.2,0.0258,-0.835,0
135,0.00040000000000000105,0.0088,48,0,329.74,0.0267,-0.81,0
136,0.0,0.0088,48,0,333.63,0.0264,-0.824,0
137,0.0,0.0088,48,0,336.87,0.0261,-0.837,0
138,0.0,0.0088,48,0,339.48,0.0259,-0.849,0
139,0.0,0.0088,48,0,341.51,0.0258,-0.862,0
140,0.0,0.0088,48,0,343.51,0.0256,-0.874,0
141,0.0,0.0088,48,0,345.5,0.0255,-0.886,0
142,0.0,0.0088,48,0,347.5,0.0253,-0.897,0
143,0.0003999999999999993,0.0092,48,0,349.49,0.0263,-0.869,0
144,0.0,0.0092,48,0,351.49,0.0262,-0.881,0
145,0.0,0.0092,48,0,353.49,0.026,-0.893,0
146,0.0,0.0092,48,0,355.48,0.0259,-0.905,0
147,0.0,0.0092,48,0,357.48,0.0257,-0.917,0
148,0.0,0.0092,48,0,359.47,0.0256,-0.929,0
149,0.0,0.0092,48,0,361.47,0.0255,-0.941,0
150,0.0,0.0092,48,0,363.46,0.0253,-0.953,0
151,0.0,0.0092,48,0,365.46,0.0252,-0.965,0
152,0.0,0.0092,48,0,367.45,0.025,-0.977,0
153,0.0,0.0092,48,0,369.45,0.0249,-0.989,0
154,0.0003999999999999993,0.0096,48,0,371.44,0.0258,-0.961,0
155,0.0,0.0096,48,0,373.44,0.0257,-0.973,0
156,0.0,0.0096,48,0,375.43,0.0256,-0.985,0
157,0.0,0.0096,48,0,377.43,0.0254,-0.997,0
158,0.0,0.0096,48,0,379.42,0.0253,-1.009,0
159,0.0,0.0096,48,0,381.42,0.0252,-1.021,0
160,0.00040000000000000105,0.01,48,0,383.41,0.0261,-0.993,0
161,0.0,0.01,48,0,385.41,0.0259,-1.005,0
162,0.0,0.01,48,0,387.4,0.0258,-1.017,0
163,0.0,0.01,48,0,389.4,0.0257,-1.029,0
164,0.0,0.01,48,0,391.39,0.0255,-1.041,0
165,0.0,0.01,48,0,393.39,0.0254,-1.053,0
166,0.0,0.01,48,0,395.38,0.0253,-1.065,0
167,0.0,0.01,48,0,399.52,0.025,-1.08,0
168,0.0,0.01,48,0,403.14,0.0248,-1.093,0
169,0.0003999999999999993,0.0104,48,0,406.24,0.0256,-1.066,0
170,0.0,0.0104,47,0,408.82,0.0254,-1.079,0
171,0.0,0.0104,47,0,410.9,0.0253,-1.091,0
172,0.0,0.0104,47,0,412.89,0.0252,-1.103,0
173,0.0,0.0104,47,0,414.89,0.0251,-1.115,0
174,0.0,0.0104,47,0,416.89,0.0249,-1.127,0
175,0.0,0.0104,47,0,418.88,0.0248,-1.139,0
176,0.0,0.0104,47,0,420.88,0.0247,-1.151,0
177,0.0,0.0104,47,0,422.88,0.0246,-1.163,0
178,0.0,0.0104,47,0,424.87,0.0245,-1.175,0
179,0.0,0.0104,47,0,426.87,0.0244,-1.187,0
180,0.00040000000000000105,0.0108,47,0,428.86,0.0252,-1.159,0
181,0.0,0.0108,47,0,430.86,0.0251,-1.171,0
182,0.0,0.0108,47,0,432.85,0.025,-1.183,0
183,0.0,0.0108,47,0,436.67,0.0247,-1.197,0
