exp_id,algorithm,num_bots,num_dirt,seed,max_steps,num_dynamic_obstacles,sensor_noise,execution_noise,total_steps,completed,runtime_seconds,timestamp,coverage,remaining_dirt,collisions,dynamic_collisions,robot_collisions,total_distance,path_efficiency,performance_score,success
random_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed0,random,2,50,0,1200,2,0.0,0.0,1200,True,1.1039,2026-04-14 11:50:59,0.16,42,21,5,1,9097.01,0.0176,-47.097,0
random_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed1,random,2,50,1,1200,2,0.0,0.0,1200,True,1.0953,2026-04-14 11:51:00,0.2,40,4,1,2,9187.23,0.0218,-9.187,0
astar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed0,astar,2,50,0,1200,2,0.0,0.0,1200,True,3.5933,2026-04-14 11:51:04,0.06,47,0,0,0,9539.05,0.0063,-15.539,0
astar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed1,astar,2,50,1,1200,2,0.0,0.0,1200,True,5.5783,2026-04-14 11:51:10,0.04,48,28,6,0,9161.37,0.0044,-73.161,0
dstar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed0,dstar,2,50,0,1200,2,0.0,0.0,1200,True,6.3877,2026-04-14 11:51:16,0.06,47,30,6,0,8525.76,0.007,-74.526,0
dstar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed1,dstar,2,50,1,1200,2,0.0,0.0,1200,True,5.8177,2026-04-14 11:51:22,0.06,47,35,8,0,7761.55,0.0077,-83.762,0
