exp_id,algorithm,num_bots,num_dirt,seed,max_steps,num_dynamic_obstacles,sensor_noise,execution_noise,total_steps,completed,runtime_seconds,timestamp,coverage,remaining_dirt,collisions,dynamic_collisions,robot_collisions,total_distance,path_efficiency,performance_score,success
random_bots1_dirt80_dyn0_snoise0p0_enoise0p0_seed0,random,1,80,0,1500,0,0.0,0.0,1500,True,1.2356,2026-04-14 19:35:20,0.0125,79,1,0,0,5275.89,0.0024,-21.026,0
astar_bots1_dirt80_dyn0_snoise0p0_enoise0p0_seed0,astar,1,80,0,1500,0,0.0,0.0,1500,True,8.6438,2026-04-14 19:35:29,0.0,80,0,0,0,5392.91,0.0,-20.393,0
dstar_bots1_dirt80_dyn0_snoise0p0_enoise0p0_seed0,dstar,1,80,0,1500,0,0.0,0.0,1500,True,8.7226,2026-04-14 19:35:38,0.0,80,0,0,0,5003.61,0.0,-20.004,0
