phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P2_single_agent,planning,none,1,0,3,0.027800000000000002,0.03470778010763581,250.0,0.0,0.023633333333333336,0.0,0.44365954399108887
P2_single_agent,reactive,none,1,0,3,0.05000000000000001,0.0,250.0,2.0,0.03983333333333333,0.0,0.29413851102193195
P3_multi_agent,planning,basic,2,low,3,0.02,0.009999999999999998,250.0,9.333333333333334,0.0516,0.0,3.3883604208628335
P3_multi_agent,planning,basic,3,low,3,0.03,0.0,250.0,10.333333333333334,0.05616666666666667,0.0,6.083160400390625
P3_multi_agent,planning,basic,5,low,3,0.03,0.026457513110645904,250.0,44.666666666666664,0.03366666666666667,0.0,6.304040590922038
P3_multi_agent,planning,enhanced,2,low,3,0.023333333333333334,0.023094010767585032,250.0,4.666666666666667,0.04733333333333334,0.0,3.7314064502716064
P3_multi_agent,planning,enhanced,3,low,3,0.02666666666666667,0.005773502691896256,250.0,1.3333333333333333,0.051800000000000006,0.0,5.844278891881307
P3_multi_agent,planning,enhanced,5,low,3,0.03666666666666667,0.02516611478423583,250.0,28.0,0.0307,0.0,6.560318231582642
P3_multi_agent,planning,none,1,low,3,0.0033333333333333335,0.005773502691896258,250.0,0.0,0.020533333333333334,0.0,2.7216570377349854
P3_multi_agent,planning,none,2,low,3,0.02,0.009999999999999998,250.0,16.0,0.04903333333333334,0.0,5.2079018751780195
P3_multi_agent,planning,none,3,low,3,0.03666666666666667,0.005773502691896259,250.0,22.333333333333332,0.06313333333333333,0.0,7.222892681757609
P3_multi_agent,planning,none,5,low,3,0.043333333333333335,0.011547005383792518,250.0,26.0,0.04716666666666667,0.0,11.776048024495443
P4_noise_robustness,planning,none,3,0,3,0.037033333333333335,0.017010095041866558,250.0,21.666666666666668,0.066,0.0,6.054133256276448
P4_noise_robustness,planning,none,3,high,3,0.04073333333333334,0.023162541599171138,250.0,23.666666666666668,0.06653333333333333,0.0,8.808932383855185
P4_noise_robustness,planning,none,3,low,3,0.029633333333333334,0.023162541599171135,250.0,20.666666666666668,0.050633333333333336,0.0,6.115712642669678
P4_noise_robustness,planning,none,3,mid,3,0.05556666666666666,0.022250018726583876,250.0,22.333333333333332,0.09166666666666667,0.0,6.248354196548462
P4_noise_robustness,reactive,none,3,0,3,0.15926666666666667,0.016999215668181095,250.0,7.333333333333333,0.04443333333333333,0.0,0.7716136773427328
P4_noise_robustness,reactive,none,3,high,3,0.14816666666666667,0.0611915299149591,250.0,5.666666666666667,0.0399,0.0,0.7233502864837646
