step,reward,coverage,remaining_dirt,collisions,total_distance,path_efficiency,performance_score,success
0,0.0004,0.0004,100,0,5.0,0.08,0.025,0
1,0.0,0.0004,100,0,10.0,0.04,0.01,0
2,0.0004,0.0008,100,0,15.0,0.0533,0.035,0
3,0.0,0.0008,100,0,20.0,0.04,0.02,0
4,0.0,0.0008,100,0,25.0,0.032,0.005,0
5,0.00039999999999999986,0.0012,100,0,30.0,0.04,0.03,0
6,0.0,0.0012,100,0,35.0,0.0343,0.015,0
7,0.0,0.0012,100,0,40.0,0.03,0.0,0
8,0.0,0.0012,100,0,45.0,0.0267,-0.015,0
9,0.0004000000000000002,0.0016,100,0,50.0,0.032,0.01,0
10,0.00039999999999999996,0.002,100,0,55.0,0.0364,0.035,0
11,0.0,0.002,100,0,60.0,0.0333,0.02,0
12,0.0,0.002,100,0,65.0,0.0308,0.005,0
13,0.0,0.002,100,0,70.0,0.0286,-0.01,0
14,0.0,0.002,100,0,75.0,0.0267,-0.025,0
15,0.00039999999999999975,0.0024,99,0,80.0,0.03,0.0,0
16,0.0,0.0024,99,0,85.0,0.0282,-0.015,0
17,0.0004000000000000002,0.0028,99,0,90.0,0.0311,0.01,0
18,0.0,0.0028,99,0,95.0,0.0295,-0.005,0
19,0.0004000000000000002,0.0032,99,0,100.0,0.032,0.02,0
20,0.0,0.0032,99,0,105.0,0.0305,0.005,0
21,0.0,0.0032,99,0,110.0,0.0291,-0.01,0
22,0.0,0.0032,99,0,115.0,0.0278,-0.025,0
23,0.0,0.0032,99,0,120.0,0.0267,-0.04,0
24,0.00039999999999999975,0.0036,99,0,125.0,0.0288,-0.015,0
25,0.0,0.0036,99,0,130.0,0.0277,-0.03,0
26,0.0,0.0036,99,0,135.0,0.0267,-0.045,0
27,0.0,0.0036,99,0,140.0,0.0257,-0.06,0
28,0.0,0.0036,99,0,145.0,0.0248,-0.075,0
29,0.0004000000000000002,0.004,99,0,150.0,0.0267,-0.05,0
30,0.0,0.004,99,0,155.0,0.0258,-0.065,0
31,0.0004000000000000002,0.0044,98,0,160.0,0.0275,-0.04,0
32,0.0,0.0044,97,0,165.0,0.0267,-0.055,0
33,0.0,0.0044,97,0,170.0,0.0259,-0.07,0
34,0.0003999999999999993,0.0048,97,0,175.0,0.0274,-0.045,0
35,0.0,0.0048,97,0,180.0,0.0267,-0.06,0
36,0.0,0.0048,97,0,185.0,0.0259,-0.075,0
37,0.0,0.0048,97,0,190.0,0.0253,-0.09,0
38,0.0004000000000000002,0.0052,97,0,195.0,0.0267,-0.065,0
39,0.0004000000000000002,0.0056,97,0,200.0,0.028,-0.04,0
40,0.0,0.0056,97,0,205.0,0.0273,-0.055,0
41,0.0,0.0056,97,0,210.0,0.0267,-0.07,0
42,0.0,0.0056,97,0,215.0,0.026,-0.085,0
43,0.0,0.0056,97,0,220.0,0.0255,-0.1,0
44,0.0004000000000000002,0.006,97,0,225.0,0.0267,-0.075,0
45,0.0004000000000000002,0.0064,97,0,230.0,0.0278,-0.05,0
46,0.0,0.0064,97,0,235.0,0.0272,-0.065,0
47,0.0,0.0064,97,0,240.0,0.0267,-0.08,0
