step,x,y
0,343.7539804816438,317.5875502807546
1,345.5919888080064,315.47559209613803
2,346.6845671530028,313.70372131633815
3,347.39775557124136,311.83870262084645
4,347.709564977995,309.8671893228681
5,347.56663342030726,307.8770507091768
6,347.43004378625795,305.8867229402436
7,347.7956589458068,303.04926030041145
8,348.4257314542426,300.92410186464406
9,349.3303783585692,299.14384479803374
10,350.573470654997,297.5818663766851
11,352.12895314675075,296.33180101558344
12,353.9371580495129,295.48948841744306
13,355.75357923762147,294.6632828212023
14,357.5767983250488,293.8539979377831
15,357.5767983250488,293.8539979377831
16,361.6375235640996,292.4147318064555
17,364.89810288333774,290.84151750700175
18,367.35289419681953,289.222642815688
19,369.06515692742283,287.65971900944254
20,370.278277854908,286.0733577373046
21,371.15556050903086,284.28002687260533
22,371.6256275424985,282.34046079201534
23,371.6256275424985,282.34046079201534
24,371.7723255818065,279.44973271017983
25,371.52758770283253,277.1858861503729
26,370.96187211819586,275.2706836738439
27,370.028583650983,273.50590407252514
28,368.7353468446888,271.9859646060829
29,367.1210885847364,270.81386944139837
30,365.49969896160565,269.6508608572747
31,363.9022250729233,268.4526774197525
32,362.09675559186906,267.60104547899397
33,360.1488274938345,267.1677372053919
34,358.1545477662824,267.2119163636719
35,356.1600221566707,267.2741622171577
36,354.16689393338504,267.3547329944081
37,352.17385618501703,267.45406258451015
38,350.2157331073262,267.073595201434
39,350.2157331073262,267.073595201434
40,348.3941097973886,266.2567202508673
41,346.7921002592202,265.06657200689517
42,345.5137026843286,263.53503737853094
43,344.24153615767847,261.9978843706637
44,342.97621480824154,260.4555395245041
45,341.7174961396912,258.90734354493713
46,340.4660618238263,257.35372346201706
47,338.21661021995124,254.13586666374627
48,335.91088858594003,251.55264313530952
49,333.63799197540493,249.61214707883389
50,331.5006039271852,248.28928119977064
51,329.60880118763777,247.52323633940034
52,327.6511032040798,247.12982794686576
53,325.65489354197274,247.14060925968428
54,323.71053647607283,247.58978420032466
55,321.7688899388012,248.05280865402597
56,319.7735808540602,248.06859140495732
57,317.77887850886447,248.09621892585682
58,315.7838945459857,248.13586573041744
59,313.7896837811973,248.18772295671923
60,311.7953336382764,248.2520735166445
61,309.8019522537005,248.32918549177037
62,307.8085929252731,248.41944326100054
63,307.8085929252731,248.41944326100054
64,304.7288965740086,247.9791201058548
65,302.3332604711988,247.2577452735075
66,300.5471320633426,246.36400429995211
67,298.9636355933661,245.14779714159644
68,297.6688814296444,243.62872654251194
69,296.753225319776,241.85598058414394
70,295.8322803383783,240.08625298951915
71,294.35517998769075,237.56007480655455
72,293.4598888682737,235.28132921023752
73,293.4598888682737,235.28132921023752
74,293.4598888682737,235.28132921023752
75,288.4823479013844,239.20428370791691
76,283.53966179579135,242.8888345562305
77,278.67028018727336,246.2655171187457
78,273.9410139663503,249.24171608619338
79,269.46076887551675,251.70374824135484
80,265.3790308607467,253.54293620461422
81,261.8373783161892,254.71432154297088
82,258.9048323200802,255.27447960931164
83,256.58749291114117,255.3503495670514
84,254.61165879824497,255.06021568327438
85,252.73278544309818,254.3854498787933
86,251.0456430186556,253.31953062401672
87,249.51162014180025,251.846468799925
88,248.35104829239842,250.22157453826998
89,247.5478649135467,248.394188640909
90,247.1748177225314,246.43400434005346
91,246.79059076326894,244.47645221712907
92,246.3950636272046,242.52068182739097
93,245.98840639709195,240.56766717696618
94,245.5703570169974,238.6165833430034
95,245.15884442368338,236.66384329987636
96,244.29679463091728,234.86489789611855
97,243.42118385400764,233.0718504839
98,242.53311775148802,231.2855767078786
99,241.63250107629773,229.5049757847359
100,240.72009653201772,227.73099862775794
101,239.79556732306867,225.96270139124343
102,238.8594853230715,224.20110174088077
103,237.18097861197862,221.4330797455532
104,236.10398060824474,218.8960908814273
105,235.56118362126693,216.68380298359145
106,235.43618740230008,214.69061582430075
107,235.70003244467492,212.71158693115737
108,236.3757166228945,210.8335352141828
109,237.46323124055138,209.16078820368278
110,238.54856600419168,207.4867477086372
111,239.1982420854863,205.60045369628085
112,239.84345043955105,203.71242276374937
113,240.48404744287672,201.82302681547878
114,241.12011537114788,199.9318952079489
115,241.75146461976138,198.03939174983284
116,242.3781375555731,196.14512259190545
117,242.99990385601967,194.2494535775846
118,243.6167728619673,192.3519640008567
119,244.28162152186493,190.4688544936938
120,244.56118250896466,188.49216173387688
121,244.40510172902012,186.50262783934667
122,243.78397704456586,184.60691189816922
123,243.15061352886298,182.71470890470232
124,242.50532071727548,180.8270848462045
125,241.84768487294986,178.94317557632277
126,241.1779162377822,177.0641042612304
127,240.0730137263909,175.40280811745754
128,238.96960850494278,173.7406018362716
129,237.86757833848128,172.07740159080748
130,236.76696933195262,170.41334080132364
131,235.66769241832273,168.74832048437668
132,234.56981506288122,167.0824558537981
133,233.47326815858483,165.41563618977622
134,232.3781353987992,163.74796657924256
135,231.68203384458985,161.87683412927274
136,231.40487660294613,159.90043965002093
137,231.59729424881291,157.91475966153098
138,231.79743180237213,155.92952985269648
139,232.00535642968921,153.9454192157782
140,232.22129503609398,151.96183938304745
141,232.44536525625813,149.97949516604407
142,232.6778586586094,147.99777867336604
143,232.91440898459552,146.01670746321236
144,233.1506126955138,144.03560900122778
145,233.3864739994131,142.05445567664086
146,233.62198838346663,140.07327519774717
147,233.85715614785352,138.09203930539948
148,234.09196929159322,136.1107757816202
149,234.3264250883549,134.1294552601736
150,234.56051256097413,132.14810617402193
151,234.78394923098628,130.1651002169959
152,235.47363512888808,128.293351931184
153,236.1801970173414,126.42714338709142
154,236.9029299509611,124.56789857810944
155,237.6422622110056,122.71442966587462
156,238.3976787540713,120.8682260613814
157,239.1698133074636,119.02817363482662
158,239.9582711087148,117.19584856548177
159,242.02336310017012,114.1170121901107
160,243.87085637475207,112.03387544339921
161,245.45371090799782,110.7523324837787
162,247.21404004462065,109.81004232064832
163,249.13170586459265,109.25658122033711
164,251.1243709711318,109.15660060075257
165,253.1168801149025,109.05490810789318
166,255.10937040641537,108.95152074033786
167,262.08910995366386,109.43036035774276
168,268.96505670542103,109.91487280347519
169,275.79378691424427,110.4279783901211
170,282.5307347216587,110.9819275388711
171,289.2306962021073,111.59492172432567
172,295.81061719418057,112.27527434280682
173,302.164683222431,113.04595813345082
174,308.56459642312757,113.95486983703972
175,308.56459642312757,113.95486983703972
176,314.41765110098044,114.72615132487462
177,319.9175468885242,115.1935658084619
178,324.8770622872967,115.30085741248556
179,329.08031232569084,115.0273624060398
180,332.4038459896688,114.42268499069559
181,334.8786381255543,113.59238659945528
182,336.638119602774,112.64723117991359
183,339.56636081964626,110.45170238289273
184,341.7266988654085,108.33738516783501
185,343.18030360646213,106.39614112619981
186,344.0824261243389,104.6143146628627
187,344.62505967015903,102.69289625958575
188,344.7504626081661,100.700939550517
189,344.4157471468807,98.73405258089163
190,344.08237126265016,96.76699330195223
191,343.7781679016157,94.44551585151272
192,343.1752389280026,92.54157082435565
193,342.21563758744446,90.79075889747948
194,340.90797028722795,89.28292657829171
195,339.28951366091604,88.11620435345854
196,337.67161282483005,86.9487735312934
197,336.05422239184225,85.78057209343874
198,334.4374196498377,84.61162281519579
199,332.8339748515062,83.42287745473976
200,331.0038274857632,82.62810153429173
201,329.1765843759636,81.82733858197822
202,327.35173249117355,81.02048947869667
203,325.5297472482914,80.20782841433724
204,323.7101663531024,79.3891628788441
205,321.8934959502125,78.564691779812
206,320.0793015861274,77.73415206222262
207,318.2681240230016,76.89769220774816
208,316.4595427440692,76.05498831735416
209,314.6541386679486,75.20615267460965
210,312.85149591981525,74.35080367804198
211,311.0522421805744,73.48902621547461
212,309.25595952036116,72.6203803500532
213,307.4633299260389,71.74492941131831
214,305.6739283055615,70.86217199843588
215,303.7300375142845,70.40941848226034
216,301.7348637649685,70.41370631759243
217,299.73977004330703,70.41592536917759
218,297.7445909412121,70.41605714553687
219,295.74949811878656,70.41407331045654
220,293.7543218092116,70.40993652819829
221,291.7592398978737,70.40360172882193
222,289.76407563637787,70.3950149983277
223,287.7690517020281,70.38334214406972
224,285.7738982168474,70.36780080509132
225,283.7789326811822,70.34843017968262
226,281.78385384626574,70.32523647394456
227,279.78897792001214,70.29820930055592
228,277.79400217676067,70.26731037586751
229,275.7992491347464,70.23249257767434
230,273.80440888300706,70.1936819419885
231,271.809849154614,70.15027437612848
232,269.8152015260098,70.10177675590643
233,267.8208792715469,70.04834416185143
234,265.82649731786285,69.9900563176694
235,263.8324551126257,69.92697199955767
236,261.8383770934263,69.85909163902832
237,259.84466225468435,69.78641190859358
238,257.85093460811123,69.7088768603794
239,257.85093460811123,69.7088768603794
240,255.85750504126653,69.62762385225297
241,253.86407811606315,69.54387941361676
242,251.87084546024255,69.45779587075387
243,249.8776205127004,69.36946292664518
244,247.8845813057938,69.27895332598553
245,245.89155415595732,69.18629954297158
246,243.89871206354204,69.09153089437183
