step,x,y
0,342.4154344486253,318.59409566730585
1,343.8263725845936,317.18330032813924
2,345.2325998622074,315.7681726995792
3,346.63457384345713,314.34847778873166
4,348.0319978671614,312.9246509351443
5,349.4252359262979,311.49638437222757
6,350.8139336918757,310.0640451120241
7,352.1979943265833,308.5365715372023
8,353.7905504564445,307.33205641494544
9,355.59574183206036,306.48017130861194
10,357.5452043994691,306.05458790216943
11,359.4915879535319,305.61734820951204
12,361.43575128489437,305.16816050308597
13,363.37662684182925,304.7071136537008
14,365.31506469062975,304.2337938136904
15,371.3866748071027,303.58917966440345
16,377.16756826646326,303.1949666862473
17,382.4885198250248,303.1080372146006
18,387.10853199959024,303.36864048592594
19,390.81436387309145,303.9559850891977
20,393.5818688016272,304.779536376939
21,395.5257178685434,305.7182320629395
22,397.13380865520514,306.901997662765
23,399.4472873433855,309.2768637961847
24,401.0276885491887,311.44979438290704
25,401.9708146765509,313.3358800056459
26,402.51987462655444,315.2557517576348
27,402.6680202950929,317.2464399838519
28,402.371654576787,319.21979198877995
29,402.09277252433026,321.194975337491
30,401.8314327433338,323.1732799715702
31,401.16929441409246,325.0576174573408
32,400.1644374048248,326.78306117975757
33,398.8259455766312,328.26387156219295
34,397.19007047638496,329.4064368893003
35,395.56173081159164,330.5588512232394
36,393.94035788046176,331.72192693039074
37,392.3270848921859,332.8953139068033
38,390.7213616539801,334.07992926619625
39,389.10717572050095,335.2538673898727
40,387.80453882976843,336.76514401818076
41,386.4996124154935,338.27427714665816
42,385.1921806102681,339.7814111791259
43,383.8823576441143,341.2862920908718
44,382.56990212533344,342.7890582098381
45,381.2549226116861,344.2894298569468
46,379.93715032648964,345.7875419291015
47,376.19777692968114,351.13766874992115
48,372.46629091181666,356.24977813875967
49,368.8045213469685,360.9564627449966
50,365.29488784688823,365.0511022335658
51,361.8401183526421,368.58264719996885
52,358.525826869827,371.4453379604451
53,355.44869752268534,373.58244168552835
54,352.69361609260676,375.0124640180548
55,348.2119768766859,376.74821653363097
56,344.425186964853,377.8173029200145
57,341.4269931059227,378.2672980844263
58,339.16250063421177,378.25104714303166
59,337.2009483872904,377.87693751395517
60,335.3557814740637,377.11523183637627
61,333.72588994682127,375.964006930696
62,332.0872255263834,374.82645074766845
63,326.4435157868994,371.797072561252
64,321.12892878869474,368.7606290646852
65,316.4197979756507,365.80372042557894
66,312.06105475318896,362.7163820533812
67,308.3049735936153,359.6500529834297
68,305.2690540430161,356.689973202617
69,303.0061934505455,353.93120747396375
70,301.48185982478833,351.45588309331305
71,299.4182088154932,347.0711567516335
72,297.9860034757954,343.1536039685428
73,297.1253506442568,339.62600564261817
74,296.7913730550801,336.56206929881455
75,296.89731401011875,334.01757301388164
76,297.32217669821824,332.03054280493626
77,298.0958598479985,330.1897274916451
78,299.2282602456571,328.54584184428984
79,300.6967642409482,327.1947650810836
80,302.1530668077929,325.8315598163453
81,303.5977627145379,324.4550284243119
82,305.02932705192654,323.0658986000383
83,306.4482997429161,321.66283350011423
84,308.16109681630803,320.64040818527553
85,309.88430932768716,319.63410364178543
86,311.31650757113243,318.2456222740696
87,312.72799993672044,316.83438894838696
88,314.4230695732519,315.7819222579935
89,316.11548709282715,314.7255549317995
90,317.8055442881323,313.6650547418549
91,319.4928701528915,312.60057837374075
92,321.1777410910095,311.53185138566585
93,322.8597538047361,310.45900706982235
94,324.5391766717182,309.3817301193144
95,326.2345149681879,308.3276765786644
96,327.6578377495601,306.92891099524775
97,328.70807065955427,305.23293245656845
98,329.74561658742,303.5284424890539
99,330.76956982749937,301.8164806264971
