phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P2_single_agent,reactive_single,20015,reactive,none,1,0,1,0,1200,0.0,0,0,5563.14,0.0,0.9742193222045898
P2_single_agent,reactive_single,20016,reactive,none,1,0,1,0,1200,0.0167,0,0,5558.23,0.003,1.0506796836853027
P2_single_agent,reactive_single,20017,reactive,none,1,0,1,0,1200,0.1,6,0,5469.89,0.0183,1.0696203708648682
P2_single_agent,reactive_single,20018,reactive,none,1,0,1,0,1200,0.0167,0,0,5444.56,0.0031,0.9611706733703613
P2_single_agent,reactive_single,20019,reactive,none,1,0,1,0,1200,0.0167,0,0,5499.2,0.003,0.9812846183776855
P2_single_agent,reactive_single,20020,reactive,none,1,0,1,0,1200,0.0667,2,0,5499.3,0.0121,1.077962875366211
P2_single_agent,reactive_single,20021,reactive,none,1,0,1,0,1200,0.0167,1,0,5831.79,0.0029,1.022010087966919
P2_single_agent,reactive_single,20022,reactive,none,1,0,1,0,1200,0.0833,1,0,5882.66,0.0142,1.0101454257965088
P2_single_agent,reactive_single,20023,reactive,none,1,0,1,0,1200,0.05,0,0,5479.25,0.0091,0.9997158050537109
P2_single_agent,reactive_single,20024,reactive,none,1,0,1,0,1200,0.0167,0,0,5396.65,0.0031,0.997504711151123
P2_single_agent,reactive_single,20025,reactive,none,1,0,1,0,1200,0.0,0,0,5418.48,0.0,1.065809965133667
P2_single_agent,reactive_single,20026,reactive,none,1,0,1,0,1200,0.0,0,0,5707.87,0.0,1.0166246891021729
P2_single_agent,reactive_single,20027,reactive,none,1,0,1,0,1200,0.0167,0,0,5462.97,0.0031,0.9918766021728516
P2_single_agent,reactive_single,20028,reactive,none,1,0,1,0,1200,0.0,0,0,5532.7,0.0,1.0141959190368652
P2_single_agent,reactive_single,20029,reactive,none,1,0,1,0,1200,0.0,0,0,5523.12,0.0,1.0293748378753662
P3_multi_agent,bots1_none,30100,planning,none,1,low,1,0,1200,0.05,74,16,1222.75,0.0409,11.118506669998169
P3_multi_agent,bots1_none,30101,planning,none,1,low,1,0,1200,0.03,0,0,527.52,0.0569,10.378883123397827
P3_multi_agent,bots1_none,30102,planning,none,1,low,1,0,1200,0.03,0,0,1446.77,0.0207,10.69809341430664
P3_multi_agent,bots1_none,30103,planning,none,1,low,1,0,1200,0.03,0,0,1504.65,0.0199,10.760350942611694
P3_multi_agent,bots1_none,30104,planning,none,1,low,1,0,1200,0.05,60,12,821.3,0.0609,10.751648426055908
P3_multi_agent,bots1_none,30105,planning,none,1,low,1,0,1200,0.09,1,0,1621.3,0.0555,9.986602783203125
P3_multi_agent,bots1_none,30106,planning,none,1,low,1,0,1200,0.03,130,28,1130.5,0.0265,10.86243748664856
P3_multi_agent,bots1_none,30107,planning,none,1,low,1,0,1200,0.02,0,0,1547.28,0.0129,11.376867532730103
P3_multi_agent,bots1_none,30108,planning,none,1,low,1,0,1200,0.05,0,0,1425.38,0.0351,10.866108894348145
P3_multi_agent,bots1_none,30109,planning,none,1,low,1,0,1200,0.03,0,0,1484.84,0.0202,10.551559925079346
P3_multi_agent,bots1_none,30110,planning,none,1,low,1,0,1200,0.05,10,2,533.38,0.0937,10.164527893066406
P3_multi_agent,bots1_none,30111,planning,none,1,low,1,0,1200,0.03,0,0,648.35,0.0463,10.614863872528076
P3_multi_agent,bots1_none,30112,planning,none,1,low,1,0,1200,0.04,11,3,1574.09,0.0254,10.735147953033447
P3_multi_agent,bots1_none,30113,planning,none,1,low,1,0,1200,0.07,57,13,1238.24,0.0565,11.371120929718018
P3_multi_agent,bots1_none,30114,planning,none,1,low,1,0,1200,0.03,90,18,892.34,0.0336,11.134871244430542
P3_multi_agent,bots1_none,30115,planning,none,1,low,1,0,1200,0.04,33,5,1491.21,0.0268,11.415732622146606
P3_multi_agent,bots1_none,30116,planning,none,1,low,1,0,1200,0.02,0,0,731.48,0.0273,11.331083059310913
P3_multi_agent,bots1_none,30117,planning,none,1,low,1,0,1200,0.05,57,12,1218.41,0.041,10.567923784255981
P3_multi_agent,bots1_none,30118,planning,none,1,low,1,0,1200,0.05,56,12,1359.82,0.0368,11.142563343048096
P3_multi_agent,bots1_none,30119,planning,none,1,low,1,0,1200,0.01,0,0,1448.9,0.0069,10.873070240020752
P3_multi_agent,bots1_none,30120,planning,none,1,low,1,0,1200,0.08,0,0,1026.29,0.078,11.056714057922363
P3_multi_agent,bots1_none,30121,planning,none,1,low,1,0,1200,0.01,32,7,1491.71,0.0067,10.912485599517822
P3_multi_agent,bots1_none,30122,planning,none,1,low,1,0,1200,0.04,17,4,1541.86,0.0259,10.742924690246582
P3_multi_agent,bots1_none,30123,planning,none,1,low,1,0,1200,0.03,32,7,780.35,0.0384,11.329059839248657
P3_multi_agent,bots1_none,30124,planning,none,1,low,1,0,1200,0.06,0,0,1226.22,0.0489,10.975281476974487
P3_multi_agent,bots1_none,30125,planning,none,1,low,1,0,1200,0.05,106,22,1443.43,0.0346,10.748707294464111
P3_multi_agent,bots1_none,30126,planning,none,1,low,1,0,1200,0.07,184,38,1406.72,0.0498,10.763699769973755
P3_multi_agent,bots1_none,30127,planning,none,1,low,1,0,1200,0.03,0,0,1449.75,0.0207,10.59667444229126
P3_multi_agent,bots1_none,30128,planning,none,1,low,1,0,1200,0.07,14,3,1512.81,0.0463,10.365258693695068
P3_multi_agent,bots1_none,30129,planning,none,1,low,1,0,1200,0.04,21,5,796.35,0.0502,10.94666862487793
P3_multi_agent,bots2_none,30200,planning,none,2,low,1,0,1200,0.05,12,3,2915.23,0.0172,26.34896969795227
P3_multi_agent,bots2_none,30201,planning,none,2,low,1,0,1200,0.04,48,11,2946.77,0.0136,28.03124499320984
P3_multi_agent,bots2_none,30202,planning,none,2,low,1,0,1200,0.06,30,7,3117.13,0.0192,28.062937259674072
P3_multi_agent,bots2_none,30203,planning,none,2,low,1,0,1200,0.08,28,6,2483.86,0.0322,26.940876722335815
P3_multi_agent,bots2_none,30204,planning,none,2,low,1,0,1200,0.04,57,12,2943.25,0.0136,29.169697046279907
P3_multi_agent,bots2_none,30205,planning,none,2,low,1,0,1200,0.03,8,2,2658.28,0.0113,29.3355393409729
P3_multi_agent,bots2_none,30206,planning,none,2,low,1,0,1200,0.08,5,0,3118.12,0.0257,28.040892601013184
P3_multi_agent,bots2_none,30207,planning,none,2,low,1,0,1200,0.08,38,9,2028.48,0.0394,27.730026245117188
P3_multi_agent,bots2_none,30208,planning,none,2,low,1,0,1200,0.01,27,6,2771.86,0.0036,31.247775077819824
P3_multi_agent,bots2_none,30209,planning,none,2,low,1,0,1200,0.05,101,20,2890.53,0.0173,30.964210510253906
P3_multi_agent,bots2_none,30210,planning,none,2,low,1,0,1200,0.03,13,3,1398.35,0.0215,28.14109444618225
P3_multi_agent,bots2_none,30211,planning,none,2,low,1,0,1200,0.05,0,0,3160.48,0.0158,28.802825212478638
P3_multi_agent,bots2_none,30212,planning,none,2,low,1,0,1200,0.03,143,30,2926.07,0.0103,28.80878520011902
P3_multi_agent,bots2_none,30213,planning,none,2,low,1,0,1200,0.05,127,27,2976.27,0.0168,28.047675132751465
P3_multi_agent,bots2_none,30214,planning,none,2,low,1,0,1200,0.1,0,0,2006.14,0.0498,26.64154291152954
P3_multi_agent,bots2_none,30215,planning,none,2,low,1,0,1200,0.04,22,5,2697.82,0.0148,28.6212637424469
P3_multi_agent,bots2_none,30216,planning,none,2,low,1,0,1200,0.02,61,13,3027.34,0.0066,28.854054927825928
P3_multi_agent,bots2_none,30217,planning,none,2,low,1,0,1200,0.06,25,5,2890.35,0.0208,27.531171798706055
P3_multi_agent,bots2_none,30218,planning,none,2,low,1,0,1200,0.02,120,25,2489.43,0.008,30.54216432571411
P3_multi_agent,bots2_none,30219,planning,none,2,low,1,0,1200,0.03,67,15,2936.41,0.0102,29.94788956642151
P3_multi_agent,bots2_none,30220,planning,none,2,low,1,0,1200,0.18,184,38,2724.36,0.0661,24.900872230529785
