exp_id,algorithm,num_bots,num_dirt,seed,max_steps,num_dynamic_obstacles,sensor_noise,execution_noise,total_steps,completed,runtime_seconds,timestamp,coverage,remaining_dirt,collisions,dynamic_collisions,robot_collisions,total_distance,path_efficiency,performance_score,success
random_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed0,random,2,50,0,1200,2,0.0,0.0,1200,True,1.1034,2026-04-14 11:45:11,0.12,44,24,5,0,6904.68,0.0174,-54.905,0
random_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed1,random,2,50,1,1200,2,0.0,0.0,1200,True,1.1407,2026-04-14 11:45:13,0.12,44,1,0,1,7406.68,0.0162,-9.407,0
astar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed0,astar,2,50,0,1200,2,0.0,0.0,1200,True,3.6413,2026-04-14 11:45:16,0.06,47,0,0,0,9539.05,0.0063,-15.539,0
astar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed1,astar,2,50,1,1200,2,0.0,0.0,1200,True,5.6502,2026-04-14 11:45:22,0.04,48,28,6,0,9161.37,0.0044,-73.161,0
dstar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed0,dstar,2,50,0,1200,2,0.0,0.0,1200,True,6.3692,2026-04-14 11:45:28,0.06,47,30,6,0,8525.76,0.007,-74.526,0
dstar_bots2_dirt50_dyn2_snoise0p0_enoise0p0_seed1,dstar,2,50,1,1200,2,0.0,0.0,1200,True,5.8401,2026-04-14 11:45:34,0.06,47,35,8,0,7761.55,0.0077,-83.762,0
