step,reward,coverage,remaining_dirt,collisions,total_distance,path_efficiency,performance_score,success
0,0.0004,0.0004,50,0,5.0,0.08,0.025,0
1,0.0004,0.0008,50,0,10.0,0.08,0.05,0
2,0.0,0.0008,50,0,15.0,0.0533,0.035,0
3,0.0,0.0008,49,0,20.0,0.04,0.02,0
4,0.0,0.0008,49,0,25.0,0.032,0.005,0
5,0.00039999999999999986,0.0012,49,0,30.0,0.04,0.03,0
6,0.0,0.0012,49,0,35.0,0.0343,0.015,0
7,0.0,0.0012,48,0,40.0,0.03,0.0,0
8,0.0,0.0012,48,0,45.0,0.0267,-0.015,0
9,0.0004000000000000002,0.0016,48,0,50.0,0.032,0.01,0
10,0.0,0.0016,48,0,55.0,0.0291,-0.005,0
11,0.0,0.0016,48,0,60.0,0.0267,-0.02,0
12,0.0,0.0016,48,0,65.0,0.0246,-0.035,0
13,0.00039999999999999996,0.002,48,0,70.0,0.0286,-0.01,0
14,0.0,0.002,48,0,75.0,0.0267,-0.025,0
15,0.0,0.002,48,0,80.0,0.025,-0.04,0
16,0.0,0.002,48,0,85.0,0.0235,-0.055,0
17,0.00039999999999999975,0.0024,48,0,90.0,0.0267,-0.03,0
18,0.0,0.0024,48,0,95.0,0.0253,-0.045,0
19,0.0,0.0024,48,0,100.0,0.024,-0.06,0
20,0.0,0.0024,48,0,105.0,0.0229,-0.075,0
21,0.0004000000000000002,0.0028,48,0,110.0,0.0255,-0.05,0
22,0.0,0.0028,48,0,115.0,0.0243,-0.065,0
23,0.0,0.0028,48,0,120.0,0.0233,-0.08,0
24,0.0,0.0028,47,0,125.0,0.0224,-0.095,0
25,0.0004000000000000002,0.0032,47,0,130.0,0.0246,-0.07,0
26,0.0,0.0032,47,0,135.0,0.0237,-0.085,0
27,0.0,0.0032,47,0,140.0,0.0229,-0.1,0
28,0.0,0.0032,47,0,145.0,0.0221,-0.115,0
29,0.00039999999999999975,0.0036,47,0,150.0,0.024,-0.09,0
30,0.0,0.0036,47,0,155.0,0.0232,-0.105,0
31,0.0,0.0036,47,0,160.0,0.0225,-0.12,0
32,0.0,0.0036,47,0,165.0,0.0218,-0.135,0
