step,reward,coverage,remaining_dirt,collisions,total_distance,path_efficiency,performance_score,success
0,0.0004,0.0004,50,0,3.66,0.1093,0.026,0
1,0.0,0.0004,50,0,6.46,0.0619,0.014,0
2,0.0,0.0004,50,0,8.54,0.0468,0.001,0
3,0.0,0.0004,50,0,10.54,0.038,-0.011,0
4,0.0,0.0004,50,0,12.54,0.0319,-0.023,0
5,0.0,0.0004,50,0,14.53,0.0275,-0.035,0
6,0.0,0.0004,50,0,16.53,0.0242,-0.047,0
7,0.0,0.0004,50,0,19.39,0.0206,-0.059,0
8,0.0,0.0004,50,0,21.6,0.0185,-0.072,0
9,0.0004,0.0008,50,0,23.6,0.0339,-0.044,0
10,0.0,0.0008,50,0,25.6,0.0313,-0.056,0
11,0.0,0.0008,50,0,27.59,0.029,-0.068,0
12,0.0,0.0008,50,0,29.59,0.027,-0.08,0
13,0.0,0.0008,50,0,31.58,0.0253,-0.092,0
14,0.0,0.0008,50,0,33.58,0.0238,-0.104,0
15,0.0,0.0008,50,0,33.58,0.0238,-0.114,0
16,0.00039999999999999986,0.0012,50,0,37.89,0.0317,-0.088,0
17,0.0,0.0012,50,0,41.51,0.0289,-0.102,0
18,0.0,0.0012,50,0,44.45,0.027,-0.114,0
19,0.0,0.0012,50,0,46.76,0.0257,-0.127,0
20,0.0,0.0012,50,0,48.76,0.0246,-0.139,0
21,0.0,0.0012,50,0,50.76,0.0236,-0.151,0
22,0.0,0.0012,50,0,52.75,0.0227,-0.163,0
23,0.0,0.0012,50,0,52.75,0.0227,-0.173,0
24,0.0004000000000000002,0.0016,50,0,55.65,0.0288,-0.146,0
25,0.0,0.0016,50,0,57.92,0.0276,-0.158,0
26,0.0,0.0016,50,0,59.92,0.0267,-0.17,0
27,0.0,0.0016,50,0,61.92,0.0258,-0.182,0
28,0.0,0.0016,50,0,63.91,0.025,-0.194,0
29,0.0,0.0016,50,0,65.91,0.0243,-0.206,0
30,0.0,0.0016,50,0,67.9,0.0236,-0.218,0
31,0.0,0.0016,50,0,69.9,0.0229,-0.23,0
32,0.0,0.0016,50,0,71.9,0.0223,-0.242,0
33,0.0,0.0016,50,0,73.89,0.0217,-0.254,0
34,0.00039999999999999996,0.002,50,0,75.89,0.0264,-0.226,0
35,0.0,0.002,50,0,77.88,0.0257,-0.238,0
36,0.0,0.002,50,0,79.88,0.025,-0.25,0
37,0.0,0.002,50,0,81.87,0.0244,-0.262,0
38,0.0,0.002,50,0,83.87,0.0238,-0.274,0
39,0.0,0.002,50,0,83.87,0.0238,-0.284,0
40,0.0,0.002,50,0,85.86,0.0233,-0.296,0
41,0.0,0.002,50,0,87.86,0.0228,-0.308,0
42,0.0,0.002,50,0,89.86,0.0223,-0.32,0
43,0.0,0.002,50,0,91.85,0.0218,-0.332,0
44,0.0,0.002,50,0,93.85,0.0213,-0.344,0
45,0.00039999999999999975,0.0024,50,0,95.84,0.025,-0.316,0
46,0.0,0.0024,50,0,97.84,0.0245,-0.328,0
47,0.0004000000000000002,0.0028,50,0,101.76,0.0275,-0.302,0
48,0.0,0.0028,50,0,105.22,0.0266,-0.315,0
49,0.0,0.0028,50,0,108.21,0.0259,-0.328,0
50,0.0,0.0028,50,0,110.73,0.0253,-0.341,0
51,0.0,0.0028,50,0,112.77,0.0248,-0.353,0
52,0.0,0.0028,50,0,114.76,0.0244,-0.365,0
53,0.0,0.0028,50,0,116.76,0.024,-0.377,0
54,0.0,0.0028,50,0,118.76,0.0236,-0.389,0
55,0.0,0.0028,50,0,120.75,0.0232,-0.401,0
56,0.0004000000000000002,0.0032,50,0,122.75,0.0261,-0.373,0
57,0.0,0.0032,50,0,124.74,0.0257,-0.385,0
58,0.0,0.0032,50,0,126.74,0.0252,-0.397,0
59,0.0,0.0032,50,0,128.73,0.0249,-0.409,0
60,0.0,0.0032,50,0,130.73,0.0245,-0.421,0
61,0.0,0.0032,50,0,132.72,0.0241,-0.433,0
62,0.0,0.0032,50,0,134.72,0.0238,-0.445,0
63,0.0,0.0032,50,0,134.72,0.0238,-0.455,0
64,0.0,0.0032,50,0,137.83,0.0232,-0.468,0
65,0.0,0.0032,50,0,140.33,0.0228,-0.48,0
66,0.0,0.0032,50,0,142.33,0.0225,-0.492,0
67,0.00039999999999999975,0.0036,50,0,144.33,0.0249,-0.464,0
68,0.0,0.0036,50,0,146.32,0.0246,-0.476,0
69,0.0,0.0036,50,0,148.32,0.0243,-0.488,0
70,0.0,0.0036,50,0,150.31,0.024,-0.5,0
71,0.0004000000000000002,0.004,50,0,153.24,0.0261,-0.473,0
72,0.0,0.004,50,0,155.69,0.0257,-0.486,0
73,0.0,0.004,50,1,157.68,0.0254,-2.498,0
74,0.0,0.004,50,1,159.68,0.025,-2.51,0
75,0.0,0.004,50,1,166.02,0.0241,-2.526,0
76,0.0,0.004,50,1,172.18,0.0232,-2.542,0
77,0.0004000000000000002,0.0044,50,1,178.11,0.0247,-2.518,0
78,0.0,0.0044,50,1,183.7,0.024,-2.534,0
79,0.0,0.0044,50,1,188.81,0.0233,-2.549,0
80,0.0,0.0044,50,1,193.29,0.0228,-2.563,0
81,0.0,0.0044,50,1,197.02,0.0223,-2.577,0
82,0.0003999999999999993,0.0048,50,1,200.0,0.024,-2.55,0
83,0.0,0.0048,50,1,202.32,0.0237,-2.562,0
84,0.0,0.0048,50,1,204.32,0.0235,-2.574,0
85,0.0,0.0048,50,1,206.31,0.0233,-2.586,0
86,0.0,0.0048,50,1,208.31,0.023,-2.598,0
87,0.0,0.0048,50,1,210.44,0.0228,-2.61,0
88,0.0,0.0048,50,1,212.43,0.0226,-2.622,0
89,0.0,0.0048,50,1,214.43,0.0224,-2.634,0
90,0.0,0.0048,50,1,216.42,0.0222,-2.646,0
91,0.0,0.0048,50,1,218.42,0.022,-2.658,0
92,0.0,0.0048,50,1,220.41,0.0218,-2.67,0
93,0.0,0.0048,50,1,222.41,0.0216,-2.682,0
94,0.0004000000000000002,0.0052,50,1,224.41,0.0232,-2.654,0
95,0.0,0.0052,50,1,226.4,0.023,-2.666,0
96,0.0,0.0052,50,1,228.4,0.0228,-2.678,0
97,0.0,0.0052,50,1,230.39,0.0226,-2.69,0
98,0.0,0.0052,50,1,232.39,0.0224,-2.702,0
99,0.0,0.0052,50,1,234.38,0.0222,-2.714,0
100,0.0,0.0052,50,1,236.38,0.022,-2.726,0
101,0.0004000000000000002,0.0056,50,1,238.37,0.0235,-2.698,0
