phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P2_single_agent,planning,none,1,0,3,0.027766666666666672,0.025455123911176183,250.0,2.0,0.0241,0.0,0.10391879081726074
P2_single_agent,reactive,none,1,0,3,0.049999999999999996,0.04408956792711854,250.0,4.0,0.041466666666666666,0.0,0.06776014963785808
P3_multi_agent,planning,basic,2,low,3,0.043333333333333335,0.02516611478423584,250.0,17.333333333333332,0.0814,0.0,1.782525618871053
P3_multi_agent,planning,basic,3,low,3,0.08333333333333333,0.015275252316519468,250.0,7.0,0.10093333333333333,0.0,2.3557610511779785
P3_multi_agent,planning,basic,5,low,3,0.10666666666666667,0.025166114784235836,250.0,32.333333333333336,0.07486666666666668,0.0,5.352462530136108
P3_multi_agent,planning,enhanced,2,low,3,0.04666666666666667,0.02886751345948129,250.0,16.333333333333332,0.07193333333333334,0.0,2.6688090165456138
P3_multi_agent,planning,enhanced,3,low,3,0.06666666666666667,0.03214550253664318,250.0,12.333333333333334,0.07153333333333334,0.0,2.525736172993978
P3_multi_agent,planning,enhanced,5,low,3,0.12,0.020000000000000004,250.0,16.0,0.07696666666666667,0.0,4.916886488596599
P3_multi_agent,planning,none,1,low,3,0.02666666666666667,0.011547005383792514,250.0,0.0,0.08816666666666667,0.0,1.3844090302785237
P3_multi_agent,planning,none,2,low,3,0.05333333333333334,0.03511884584284246,250.0,2.0,0.08973333333333333,0.0,2.48807692527771
P3_multi_agent,planning,none,3,low,3,0.07666666666666666,0.015275252316519465,250.0,42.333333333333336,0.08853333333333334,0.0,3.450044790903727
P3_multi_agent,planning,none,5,low,3,0.09000000000000001,0.034641016151377546,250.0,75.0,0.0666,0.0,8.717251300811768
P4_noise_robustness,planning,none,3,0,3,0.08146666666666667,0.03902939063492196,250.0,0.6666666666666666,0.09433333333333334,0.0,5.104666709899902
P4_noise_robustness,planning,none,3,high,3,0.10370000000000001,0.02563435195201938,250.0,34.666666666666664,0.13053333333333333,0.0,5.082155227661133
P4_noise_robustness,planning,none,3,low,3,0.0741,0.02310649259407408,250.0,65.66666666666667,0.0845,0.0,5.566681623458862
P4_noise_robustness,planning,none,3,mid,3,0.06296666666666666,0.017010095041866555,250.0,1.3333333333333333,0.07623333333333333,0.0,5.3352406819661455
P4_noise_robustness,reactive,none,3,0,3,0.13706666666666667,0.1050259650435707,250.0,22.333333333333332,0.039799999999999995,0.0,0.47177879015604657
P4_noise_robustness,reactive,none,3,high,3,0.11483333333333333,0.05249536487475188,250.0,2.6666666666666665,0.031133333333333332,0.0,0.5793982346852621
P4_noise_robustness,reactive,none,3,low,3,0.15556666666666666,0.04007709237623576,250.0,41.0,0.043899999999999995,0.0,0.5974509716033936
P4_noise_robustness,reactive,none,3,mid,3,0.0815,0.08631529412566467,250.0,12.0,0.022633333333333335,0.0,0.5876296361287435
P5_full_matrix,planning,basic,3,0,3,0.05453333333333333,0.009050046040398545,250.0,17.666666666666668,0.066,0.0,1.8267898559570312
P5_full_matrix,planning,basic,3,high,3,0.06060000000000001,0.02284819467704177,250.0,41.333333333333336,0.0711,0.0,2.230767329533895
P5_full_matrix,planning,basic,3,low,3,0.04546666666666666,0.009050046040398545,250.0,39.666666666666664,0.054266666666666664,0.0,2.6248894532521567
P5_full_matrix,planning,basic,3,mid,3,0.08786666666666666,0.05011889198030353,250.0,30.0,0.10213333333333334,0.0,2.0060060818990073
P5_full_matrix,planning,basic,5,0,3,0.11513333333333332,0.046655367679757205,250.0,50.0,0.09473333333333334,0.0,2.6452885468800864
P5_full_matrix,planning,basic,5,high,3,0.08786666666666666,0.01894316059514181,250.0,30.333333333333332,0.06406666666666667,0.0,2.401093324025472
P5_full_matrix,planning,basic,5,low,3,0.0909,0.024076336930687777,250.0,29.666666666666668,0.074,0.0,2.6029778321584067
P5_full_matrix,planning,basic,5,mid,3,0.0727,0.024076336930687784,250.0,31.333333333333332,0.0531,0.0,2.7980302969614663
P5_full_matrix,planning,none,1,0,3,0.015166666666666667,0.013900479608032715,250.0,47.0,0.08526666666666667,0.0,2.116318623224894
P5_full_matrix,planning,none,1,high,3,0.02426666666666667,0.018943160595141808,250.0,12.666666666666666,0.0707,0.0,1.4005988438924153
P5_full_matrix,planning,none,1,low,3,0.021233333333333337,0.005253887449625593,250.0,0.0,0.0771,0.0,1.421869119008382
P5_full_matrix,planning,none,1,mid,3,0.021233333333333337,0.010507774899251188,250.0,0.0,0.0719,0.0,1.3991805712382
P5_full_matrix,planning,none,3,0,3,0.06966666666666667,0.0052538874496255925,250.0,12.333333333333334,0.08476666666666666,0.0,3.7705078125
P5_full_matrix,planning,none,3,high,3,0.045466666666666676,0.018150022956826623,250.0,40.333333333333336,0.05246666666666666,0.0,4.28586483001709
P5_full_matrix,planning,none,3,low,3,0.0727,0.015761662348876777,250.0,36.333333333333336,0.09226666666666666,0.0,3.6462209224700928
P5_full_matrix,planning,none,3,mid,3,0.05756666666666666,0.036723607302841764,250.0,68.0,0.07063333333333334,0.0,4.669322331746419
P5_full_matrix,planning,none,5,0,3,0.11516666666666668,0.010507774899251185,250.0,79.66666666666667,0.08700000000000001,0.0,6.20682152112325
P5_full_matrix,planning,none,5,high,3,0.10303333333333332,0.02290116445365461,250.0,38.666666666666664,0.07793333333333334,0.0,5.590031067530314
P5_full_matrix,planning,none,5,low,3,0.12120000000000002,0.03671947712046019,250.0,21.0,0.09216666666666666,0.0,5.839274883270264
P5_full_matrix,planning,none,5,mid,3,0.12123333333333335,0.0189431605951418,250.0,34.666666666666664,0.09633333333333334,0.0,6.676135619481404
P5_full_matrix,reactive,basic,3,0,3,0.05456666666666667,0.01570392732195782,250.0,21.333333333333332,0.016666666666666666,0.0,0.2762894630432129
P5_full_matrix,reactive,basic,3,high,3,0.14546666666666666,0.009050046040398545,250.0,31.0,0.045066666666666665,0.0,0.2703859011332194
P5_full_matrix,reactive,basic,3,low,3,0.24240000000000003,0.020957814771583413,250.0,65.0,0.07683333333333334,0.0,0.3229048252105713
P5_full_matrix,reactive,basic,3,mid,3,0.11513333333333332,0.04098613586730681,250.0,40.0,0.03573333333333333,0.0,0.2703585624694824
P5_full_matrix,reactive,basic,5,0,3,0.17576666666666665,0.05479966544910045,250.0,155.33333333333334,0.03473333333333334,0.0,0.46002038319905597
P5_full_matrix,reactive,basic,5,high,3,0.18486666666666665,0.03439481550078926,250.0,66.66666666666667,0.0344,0.0,0.43020153045654297
P5_full_matrix,reactive,basic,5,low,3,0.20909999999999998,0.07438897767814799,250.0,61.333333333333336,0.039233333333333335,0.0,0.44686055183410645
P5_full_matrix,reactive,basic,5,mid,3,0.1909,0.05673341167248804,250.0,72.0,0.0362,0.0,0.4377622604370117
P5_full_matrix,reactive,none,1,0,3,0.03333333333333333,0.02921614850272591,250.0,34.666666666666664,0.03306666666666667,0.0,0.11679267883300781
P5_full_matrix,reactive,none,1,high,3,0.04546666666666666,0.056773438625235075,250.0,0.6666666666666666,0.038200000000000005,0.0,0.11291042963663737
P5_full_matrix,reactive,none,1,low,3,0.08183333333333333,0.07443173606287397,250.0,27.666666666666668,0.0761,0.0,0.11377771695454915
P5_full_matrix,reactive,none,1,mid,3,0.0424,0.029195376346264148,250.0,13.0,0.03693333333333333,0.0,0.12566685676574707
P5_full_matrix,reactive,none,3,0,3,0.12426666666666668,0.0229011644536546,250.0,28.333333333333332,0.03456666666666667,0.0,0.26839454968770343
P5_full_matrix,reactive,none,3,high,3,0.12423333333333332,0.09283654093800206,250.0,57.333333333333336,0.036,0.0,0.2657981713612874
P5_full_matrix,reactive,none,3,low,3,0.09999999999999999,0.009100000000000002,250.0,131.66666666666666,0.031966666666666664,0.0,0.27812377611796063
P5_full_matrix,reactive,none,3,mid,3,0.0909,0.03152332469775357,250.0,49.0,0.026566666666666666,0.0,0.2580747604370117
