step,x,y
0,622.0,314.0
1,622.0,314.0
2,628.6703001279673,312.5129449487947
3,635.2633408482666,310.99333459907746
4,641.7132317586178,309.4335870517977
5,646.5731346848062,308.0429059113485
6,650.9048616851788,306.4308512447718
7,650.9048616851788,306.4308512447718
8,654.6196522968454,304.6341662106552
9,657.6583483639257,302.7156902014994
10,660.0030729409699,300.76042377806965
11,661.6766528897195,298.8699733951342
12,662.7383311857287,297.1571992342393
13,663.4550183507649,295.2934714088829
14,663.7756308073458,293.32323404440916
15,663.7686952895385,289.42438700602077
16,663.3598838945234,286.1288749855857
17,662.6370418506328,283.4717080225821
18,661.71885552262,281.4572218805118
19,660.5770764444216,279.8188401864005
20,659.1338104847187,278.4395295593055
21,657.4270040236843,277.4053069904185
22,655.5258987267484,276.80065060529455
23,653.5363268752469,276.6330187167844
24,651.5566728322347,276.8871169863668
25,649.6891430913016,277.58916878119857
26,647.8217184440765,278.2915383758675
27,645.9544226590596,278.9942126510029
28,644.0872304018449,279.6971996422085
29,642.2201668289941,280.4004906131988
30,640.3532078864531,281.10409727997603
31,638.1878198580031,281.4388647348712
32,636.1919590163296,281.3773961554474
33,634.2517533587571,280.90842350229434
34,632.4675731230109,280.01511608718056
35,630.6797031004313,279.13003464412924
36,628.8876069174189,278.2527304737218
37,627.0919946252085,277.38345551681283
38,625.2922757848314,276.52189886280183
39,621.4986450219311,274.3605603835534
40,618.0199050612076,272.8354577905187
41,614.9384719911285,271.92328232282705
42,612.3190446066247,271.5494432068542
43,610.2115436365096,271.60029600019226
44,608.2580764542251,272.0143529521617
45,606.4289377474832,272.81386974879086
46,604.8211265435219,273.99587943830693
47,604.8211265435219,273.99587943830693
48,603.5047535879797,275.49704366432667
49,602.534424115381,277.2412024392733
50,601.9901445456079,279.1606918484336
51,601.4445711952552,281.0797569053605
52,600.8976564247887,282.998497905845
53,600.3494080081504,284.9167994328988
54,599.7997663816351,286.8347623150538
55,599.2795216405327,291.3530045208014
56,599.2795216405327,291.3530045208014
57,598.9426128496704,297.4720251301807
58,598.8505456016163,303.177147537591
59,599.0677842170666,308.11879523688395
60,599.6420602855416,312.84049502816896
61,600.538359024704,317.0544271608664
62,601.7207630235666,320.6833877182312
63,603.8962547748501,326.49993777720937
64,603.8962547748501,326.49993777720937
65,605.7614515439991,331.1855290266701
66,607.7626858211768,335.24102929672506
67,609.8397610438765,338.5682772379972
68,611.9114759582869,341.1315658204369
69,613.8858183628953,342.9609618193918
70,615.6633804481036,344.1322179770841
71,618.2733854438286,345.3006999267802
72,620.5611175393503,345.91805709582206
73,622.5504520394101,346.09507995490094
74,624.5364177808826,345.8889110184026
75,626.4352477417603,345.2736869244072
76,628.1451037567438,344.24527376731777
77,629.8590547374373,343.2243734452645
78,631.5778279983244,342.21090999227283
79,633.0151362322456,340.8265500259699
