step,x,y
0,792.0,262.0
1,792.9483993732636,260.24330131890247
2,793.4932174757765,258.3234375078243
3,793.5709189584182,256.3300361562579
4,793.637664343512,254.33579509335502
5,793.693196939151,252.34166230187247
6,793.7372747771451,250.3467810414245
7,793.7372747771451,250.3467810414245
8,794.4013846975683,247.19794330519744
9,795.3128162589713,244.73280939087311
10,796.3461504257531,242.9318818466325
11,797.6431111521086,241.41359809982498
12,799.221176655552,240.19112148568647
13,801.0303916132664,239.34929827289307
14,802.8316190435921,238.4921376451938
15,805.0981427212529,237.28362077821095
16,806.9945551035006,236.6571023150378
17,808.9752384327159,236.40581686106958
18,810.9635226242443,236.5793978034637
19,812.8572122362864,237.2073404042855
20,814.7502206184282,237.8376475236093
21,816.6423596426008,238.47024808068372
22,818.5338118487298,239.10521067896127
23,820.4243792240333,239.74249026271065
24,822.3142391739957,240.3821803715405
25,824.203181653947,241.0242548886409
26,826.0913834847642,241.66882941440792
27,827.9786201681438,242.3158928198873
28,829.8650713120354,242.96558193066244
29,831.7504953117005,243.61789835359963
30,833.6350772956084,244.27300053670012
31,833.6350772956084,244.27300053670012
32,837.2542944876923,244.83698438976631
33,840.3364787519636,244.91235409144932
34,842.8408004022585,244.59482511629784
35,844.7511204864057,244.0117858985698
36,846.5176261102855,243.0809652684503
37,848.0544612064184,241.80717088646568
38,849.2666238094562,240.22216371856044
39,850.1024948204982,238.40912188204877
40,850.5303885147747,236.45975860760976
41,850.4930317713345,234.46507894274222
42,850.4503138034202,232.47029085543736
43,850.4021200648299,230.4758486675417
44,850.3482968307765,228.48132361465477
45,850.2886950620141,226.4871963513724
46,850.22312060215,224.49301586469204
47,850.22312060215,224.49301586469204
48,850.8213363590228,219.8397417609658
49,851.7219702127411,215.83511060053644
50,852.8687054601368,212.55606974986546
51,854.1719130555397,210.01605927066862
52,855.5190751650523,208.18059919196543
53,856.9686567160762,206.80697373267927
54,858.6598150390752,205.7460144887291
55,860.5391671284335,205.0744867384435
56,862.5227261847537,204.86139927664019
57,864.507471134622,204.65641863214762
58,866.4927209695209,204.4597700204309
59,868.4791351539709,204.27157445009
60,870.466003746831,204.09211553405768
61,872.4540213431998,203.9215764229921
62,874.442436835742,203.76029642275907
63,876.4329788993194,203.6172872406805
64,878.3332177732898,203.0100313662444
65,880.2304585083932,202.3920185163114
66,882.1237420041869,201.76342927071602
67,884.0138217241432,201.12382906066594
68,885.8996797500562,200.4733292792666
69,887.7820640580762,199.81139229572742
70,889.6598838095543,199.13807738055405
71,891.5275373627617,198.39494282206743
72,893.4883482400234,198.0179671632085
73,895.4840699258331,198.0542209237313
